city,latitude,longitude,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,weather_code,wind_speed_10m_max,wind_speed_10m_mean,wind_gusts_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_max,dewpoint_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloudcover_mean,year,month_sin,month_cos,day_sin,day_cos,dayofweek_sin,dayofweek_cos,quarter_sin,quarter_cos,rain_sum_rolling_mean_3,temperature_2m_mean_rolling_mean_3,relative_humidity_2m_mean_rolling_mean_3,wind_speed_10m_mean_rolling_mean_3,dewpoint_2m_mean_rolling_mean_3,rain_sum_rolling_mean_7,temperature_2m_mean_rolling_mean_7,relative_humidity_2m_mean_rolling_mean_7,wind_speed_10m_mean_rolling_mean_7,dewpoint_2m_mean_rolling_mean_7,rain_sum_rolling_mean_14,temperature_2m_mean_rolling_mean_14,relative_humidity_2m_mean_rolling_mean_14,wind_speed_10m_mean_rolling_mean_14,dewpoint_2m_mean_rolling_mean_14,rain_sum_lag_1,temperature_2m_mean_lag_1,relative_humidity_2m_mean_lag_1,wind_speed_10m_mean_lag_1,dewpoint_2m_mean_lag_1,rain_sum_lag_2,temperature_2m_mean_lag_2,relative_humidity_2m_mean_lag_2,wind_speed_10m_mean_lag_2,dewpoint_2m_mean_lag_2,rain_sum_lag_3,temperature_2m_mean_lag_3,relative_humidity_2m_mean_lag_3,wind_speed_10m_mean_lag_3,dewpoint_2m_mean_lag_3,rain_sum_lag_7,temperature_2m_mean_lag_7,relative_humidity_2m_mean_lag_7,wind_speed_10m_mean_lag_7,dewpoint_2m_mean_lag_7
Hanoi,21.0278,105.8342,2022-01-08,-1.7021276595744683,-2.176470588235292,-2.057142857142858,-0.024390243902439015,51.0,0.3770491803278689,0.7499999999999997,-0.23148148148148145,-1.6263669501822595,0.0,0.16666666666666666,-0.2857142857142859,-2.027777777777779,-1.9777777777777779,-2.0221083850094352,1.2761144377911409,0.39273927392739244,2022,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.10975609756097558,-1.9142857142857146,0.012531328320801708,0.6893939393939391,-1.7654354273389046,-0.16550522648083618,-2.1959183673469393,-0.1605800214822773,0.14610389610389599,-2.1176289334822624,-0.17073170731707313,-2.2678571428571432,-0.2457706766917295,0.16193181818181807,-2.225936910218387,-0.09756097560975607,-1.8571428571428572,-0.0714285714285718,0.9318181818181817,-1.7719061741709343,-0.20731707317073167,-1.8285714285714292,0.39473684210526283,0.3863636363636362,-1.5022917228363433,-0.20731707317073167,-1.9714285714285724,0.13157894736842052,-0.11363636363636363,-1.7330816931787534,-0.20731707317073167,-2.7714285714285722,-0.8421052631578949,0.27272727272727254,-2.984092747371258
Hanoi,21.0278,105.8342,2022-01-09,-2.441489361702128,-2.9117647058823506,-3.342857142857143,0.3414634146341463,55.0,0.42622950819672145,0.9545454545454543,-0.3333333333333331,-1.8517618469015793,-0.375,0.4444444444444444,-0.048872180451128205,-3.361111111111113,-2.4222222222222225,-3.0218387705581016,1.2801064537592013,0.40264026402640235,2022,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.07317073170731708,-2.4190476190476193,-0.13533834586466198,0.8787878787878786,-2.271951109912824,-0.08710801393728221,-2.2897959183673473,-3.6875264746478416e-16,0.30844155844155835,-2.1028386550090508,-0.1138211382113821,-2.3873015873015877,-0.22389306599832937,0.24999999999999986,-2.314370450256133,-0.024390243902439015,-2.057142857142858,-0.2857142857142859,0.7499999999999997,-2.0221083850094352,-0.09756097560975607,-1.8571428571428572,-0.0714285714285718,0.9318181818181817,-1.7719061741709343,-0.20731707317073167,-1.8285714285714292,0.39473684210526283,0.3863636363636362,-1.5022917228363433,-0.20731707317073167,-2.6857142857142864,-1.1729323308270667,-0.18181818181818196,-3.1253707198705842
Hanoi,21.0278,105.8342,2022-01-10,-2.382978723404256,-2.852941176470586,-2.971428571428572,-0.10975609756097558,51.0,0.6065573770491801,0.31818181818181823,-0.23148148148148145,-1.640340218712029,-1.1666666666666667,0.5,-0.08646616541353462,-2.6666666666666683,-2.4222222222222225,-2.724184416284712,1.1157684630739138,0.40264026402640235,2022,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.0,1.0,1.0,6.123233995736766e-17,0.06910569105691057,-2.7904761904761908,-0.14035087719298292,0.674242424242424,-2.5893771906174163,-0.07317073170731704,-2.3469387755102042,0.0236305048335119,0.45129870129870114,-2.135962716173015,-0.11341463414634143,-2.445714285714286,-0.2101503759398499,0.2568181818181817,-2.3553518468589907,0.3414634146341463,-3.342857142857143,-0.048872180451128205,0.9545454545454543,-3.0218387705581016,-0.024390243902439015,-2.057142857142858,-0.2857142857142859,0.7499999999999997,-2.0221083850094352,-0.09756097560975607,-1.8571428571428572,-0.0714285714285718,0.9318181818181817,-1.7719061741709343,-0.20731707317073167,-2.5714285714285716,-0.25187969924812054,-0.6818181818181818,-2.4923159881369634
Hanoi,21.0278,105.8342,2022-01-11,-2.5531914893617027,-2.852941176470586,-3.0571428571428574,-0.1463414634146341,51.0,0.13114754098360665,0.2045454545454546,-0.39814814814814786,-1.2539489671931954,-1.3333333333333333,-0.8333333333333334,-0.527255639097745,-3.3333333333333353,-3.4222222222222225,-3.645187382043677,1.7168995342648854,-0.03190319031903176,2022,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.028455284552845544,-3.1238095238095247,-0.22086466165413596,0.49242424242424243,-3.1304035229621636,-0.06445993031358883,-2.4408163265306126,-0.07048872180451174,0.4902597402597402,-2.3457997920117077,-0.11640798226164079,-2.5012987012987016,-0.23897812713602215,0.2520661157024792,-2.4726096227848715,-0.10975609756097558,-2.971428571428572,-0.08646616541353462,0.31818181818181823,-2.724184416284712,0.3414634146341463,-3.342857142857143,-0.048872180451128205,0.9545454545454543,-3.0218387705581016,-0.024390243902439015,-2.057142857142858,-0.2857142857142859,0.7499999999999997,-2.0221083850094352,-0.20731707317073167,-2.400000000000001,0.13157894736842052,-0.06818181818181834,-2.1763278511728226
Hanoi,21.0278,105.8342,2022-01-12,-2.170212765957448,-3.882352941176468,-2.971428571428572,-0.19512195121951215,51.0,-0.524590163934426,0.0,-0.7314814814814813,-1.2053462940461726,0.5,-0.05555555555555555,-0.2481203007518795,-3.027777777777779,-2.6,-2.882717713669452,1.469061876247555,-0.19471947194719458,2022,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,-0.1504065040650406,-3.0000000000000004,-0.2872807017543864,0.17424242424242428,-3.0840298373326136,-0.06271777003484318,-2.5836734693877554,-0.12473147153598317,0.5064935064935063,-2.510033509224665,-0.12296747967479671,-2.5404761904761908,-0.2397399749373436,0.23106060606060597,-2.506785297025253,-0.1463414634146341,-3.0571428571428574,-0.527255639097745,0.2045454545454546,-3.645187382043677,-0.10975609756097558,-2.971428571428572,-0.08646616541353462,0.31818181818181823,-2.724184416284712,0.3414634146341463,-3.342857142857143,-0.048872180451128205,0.9545454545454543,-3.0218387705581016,-0.20731707317073167,-1.9714285714285724,0.13157894736842052,-0.11363636363636363,-1.7330816931787534
Hanoi,21.0278,105.8342,2022-01-13,-2.8936170212765964,-2.617647058823527,-3.085714285714286,0.0,51.0,0.08196721311475408,0.22727272727272727,-0.6666666666666665,-1.8724179829890644,-1.1666666666666667,0.2777777777777778,-0.3571428571428577,-2.833333333333335,-2.6666666666666665,-2.980857373955243,1.7438456420493242,0.4015401540154007,2022,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,-0.11382113821138207,-3.0380952380952384,-0.37750626566416073,0.14393939393939395,-3.1695874898894574,-0.03310104529616723,-2.7632653061224492,-0.2321428571428575,0.4837662337662337,-2.721257173670222,-0.11350844277673543,-2.582417582417583,-0.2487709658762293,0.23076923076923067,-2.5432523798660216,-0.19512195121951215,-2.971428571428572,-0.2481203007518795,0.0,-2.882717713669452,-0.1463414634146341,-3.0571428571428574,-0.527255639097745,0.2045454545454546,-3.645187382043677,-0.10975609756097558,-2.971428571428572,-0.08646616541353462,0.31818181818181823,-2.724184416284712,-0.20731707317073167,-1.8285714285714292,0.39473684210526283,0.3863636363636362,-1.5022917228363433
Hanoi,21.0278,105.8342,2022-01-14,-1.8936170212765966,-2.6470588235294095,-2.6285714285714294,-0.20731707317073167,3.0,0.032786885245901516,-0.31818181818181823,-0.6666666666666665,-1.25273390036452,0.16666666666666666,-0.1111111111111111,-0.6804511278195488,-2.6666666666666683,-2.577777777777778,-2.7684011863035853,1.3213572854292128,-0.1628162816281628,2022,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,-0.1341463414634146,-2.8952380952380956,-0.42857142857142866,-0.03030303030303032,-2.8773254246427604,-0.04878048780487803,-2.8734693877551023,-0.31914607948442564,0.30519480519480513,-2.8636136039748865,-0.12020905923344946,-2.5857142857142863,-0.27960526315789497,0.19155844155844148,-2.559334437468705,0.0,-3.085714285714286,-0.3571428571428577,0.22727272727272727,-2.980857373955243,-0.19512195121951215,-2.971428571428572,-0.2481203007518795,0.0,-2.882717713669452,-0.1463414634146341,-3.0571428571428574,-0.527255639097745,0.2045454545454546,-3.645187382043677,-0.09756097560975607,-1.8571428571428572,-0.0714285714285718,0.9318181818181817,-1.7719061741709343
Hanoi,21.0278,105.8342,2022-01-15,-1.595744680851064,-2.852941176470586,-2.392857142857144,-0.19512195121951215,51.0,-0.4098360655737704,-0.15909090909090912,-0.8333333333333333,-1.4641555285540702,0.6666666666666666,0.2222222222222222,0.2142857142857141,-1.9166666666666674,-2.105555555555556,-2.3637098948503636,1.0931470392548688,0.08580858085808575,2022,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.1341463414634146,-2.702380952380953,-0.2744360902255641,-0.08333333333333337,-2.704322818369731,-0.07317073170731704,-2.9214285714285717,-0.24771750805585424,0.1753246753246753,-2.912413819666448,-0.11933797909407663,-2.5586734693877555,-0.20414876476906577,0.16071428571428564,-2.515021376574355,-0.20731707317073167,-2.6285714285714294,-0.6804511278195488,-0.31818181818181823,-2.7684011863035853,0.0,-3.085714285714286,-0.3571428571428577,0.22727272727272727,-2.980857373955243,-0.19512195121951215,-2.971428571428572,-0.2481203007518795,0.0,-2.882717713669452,-0.024390243902439015,-2.057142857142858,-0.2857142857142859,0.7499999999999997,-2.0221083850094352
Hanoi,21.0278,105.8342,2022-01-16,-1.106382978723405,-2.411764705882351,-1.914285714285715,0.1341463414634146,53.0,1.2049180327868851,0.8011363636363638,0.2615740740740743,-0.94775212636695,0.16666666666666666,-0.05555555555555555,0.12406015037593975,-1.3611111111111116,-2.3333333333333335,-1.6931787543812333,1.1723220226214808,0.12431243124312409,2022,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,-0.08943089430894306,-2.311904761904763,-0.11403508771929831,0.10795454545454546,-2.275096611845061,-0.102787456445993,-2.7173469387755107,-0.2230128893662731,0.15340909090909097,-2.7226052459268955,-0.0949477351916376,-2.5035714285714294,-0.11150644468313674,0.23092532467532464,-2.4127219504679727,-0.19512195121951215,-2.392857142857144,0.2142857142857141,-0.15909090909090912,-2.3637098948503636,-0.20731707317073167,-2.6285714285714294,-0.6804511278195488,-0.31818181818181823,-2.7684011863035853,0.0,-3.085714285714286,-0.3571428571428577,0.22727272727272727,-2.980857373955243,0.3414634146341463,-3.342857142857143,-0.048872180451128205,0.9545454545454543,-3.0218387705581016
Hanoi,21.0278,105.8342,2022-01-17,-3.23404255319149,-3.02941176470588,-3.4571428571428577,0.3292682926829268,53.0,0.6557377049180326,1.4090909090909087,0.10185185185185197,-1.764277035236938,-1.0,0.3888888888888889,-0.15413533834586537,-3.4166666666666683,-2.7111111111111112,-3.1933135616069017,1.8456420492349632,0.40264026402640235,2022,0.49999999999999994,0.8660254037844387,-0.2993631229733582,-0.9541392564000488,0.0,1.0,1.0,6.123233995736766e-17,0.08943089430894309,-2.5880952380952387,0.061403508771929495,0.6837121212121211,-2.4167340702794995,-0.040069686411149816,-2.786734693877552,-0.23267991407089175,0.3092532467532467,-2.7896236952586366,-0.056620209059233435,-2.566836734693878,-0.10452470461868993,0.3802759740259739,-2.4627932057158257,0.1341463414634146,-1.914285714285715,0.12406015037593975,0.8011363636363638,-1.6931787543812333,-0.19512195121951215,-2.392857142857144,0.2142857142857141,-0.15909090909090912,-2.3637098948503636,-0.20731707317073167,-2.6285714285714294,-0.6804511278195488,-0.31818181818181823,-2.7684011863035853,-0.10975609756097558,-2.971428571428572,-0.08646616541353462,0.31818181818181823,-2.724184416284712
